SOURCE	SOURCE_GLOSS	RELATION	TARGET	TARGET_GLOSS
3763	PATERNAL UNCLE	narrower	2173	PATERNAL UNCLE (FATHER'S OLDER BROTHER)
3763	PATERNAL UNCLE	narrower	2174	PATERNAL UNCLE (FATHER'S YOUNGER BROTHER)
3764	BAD OR EVIL	narrower	1292	BAD
3764	BAD OR EVIL	narrower	45	EVIL
3805	SHY OR ASHAMED	narrower	1894	ASHAMED
3805	SHY OR ASHAMED	narrower	487	SHY
3806	RIPE OR COOKED	narrower	178	RIPE
3806	RIPE OR COOKED	narrower	269	COOKED
3809	SCREAM (PRODUCE A CRY)	producedby	2522	SCREAM (NOISE)
3830	WALL	narrower	933	WALL (OF HOUSE)
3856	ITCH OR ITCHY OR ITCHING	narrower	148	ITCH
3856	ITCH OR ITCHY OR ITCHING	narrower	149	ITCHY
3856	ITCH OR ITCHY OR ITCHING	narrower	3855	ITCH (CAUSE ITCHING OR FEEL ITCHY)
387	SLING	requires	3180	SHOOT (WITH SLINGSHOT)
3889	CUT OR HACK	narrower	1432	CUT
3890	NEPHEW OR NIECE	narrower	1063	NEPHEW
3890	NEPHEW OR NIECE	narrower	1642	NIECE
405	OLDER SIBLING	narrower	1758	OLDER SISTER
405	OLDER SIBLING	narrower	1759	OLDER BROTHER
427	YOUNGER SIBLING	narrower	1760	YOUNGER BROTHER
427	YOUNGER SIBLING	narrower	1761	YOUNGER SISTER
430	TWIST	narrower	3199	TWIST (AROUND)
430	TWIST	narrower	3236	TWIST (TOGETHER)
503	FROG	narrower	3245	FROG (SMALL)
525	BLOOD VESSEL	narrower	1924	VEIN
525	BLOOD VESSEL	narrower	1925	ARTERY
559	BROTHER (OF MAN)	narrower	2414	OLDER BROTHER (OF MAN)
559	BROTHER (OF MAN)	narrower	2416	YOUNGER BROTHER (OF MAN)
560	BROTHER (OF WOMAN)	narrower	2415	OLDER BROTHER (OF WOMAN)
560	BROTHER (OF WOMAN)	narrower	2417	YOUNGER BROTHER (OF WOMAN)
561	SISTER (OF MAN)	narrower	2418	OLDER SISTER (OF MAN)
561	SISTER (OF MAN)	narrower	2420	YOUNGER SISTER (OF MAN)
562	SISTER (OF WOMAN)	narrower	2419	OLDER SISTER (OF WOMAN)
562	SISTER (OF WOMAN)	narrower	2421	YOUNGER SISTER (OF WOMAN)
580	FUR	narrower	3232	PELT
583	KIND OR POLITE	narrower	3299	KIND
583	KIND OR POLITE	narrower	3300	POLITE
588	BROKEN	narrower	3190	BROKEN (NOT WORKING)
588	BROKEN	narrower	3191	BROKEN (SHATTERED)
619	ANIMAL	narrower	3923	FEMALE ANIMAL
619	ANIMAL	narrower	3924	MALE ANIMAL
635	MILK	narrower	3911	COW MILK
635	MILK	narrower	3912	BREAST MILK
636	MILL	requires	1033	GRIND
680	BREAK (DESTROY OR GET DESTROYED)	narrower	2558	BREAK (CLEAVE)
680	BREAK (DESTROY OR GET DESTROYED)	narrower	3020	BREAK (BREAKING)
682	SIDE	narrower	3344	SIDE (BODY)
689	BETWEEN	narrower	1093	MIDDLE
692	BRING	narrower	700	CARRY
705	GO UP (ASCEND)	narrower	1102	CLIMB
711	TALL	narrower	3346	TALL (PERSON)
738	THING	narrower	2214	AFFAIR
752	STORE	narrower	746	SHOP
763	SKIN	narrower	2613	SKIN (HUMAN)
763	SKIN	narrower	2614	SKIN (ANIMAL)
822	HOW MANY	narrower	3450	HOW MANY PIECES
822	HOW MANY	narrower	531	HOW MUCH
947	STREAM	narrower	3821	BROOK
962	WOMAN	narrower	2471	LADY
962	WOMAN	narrower	2807	BLACK WOMAN
962	WOMAN	narrower	2840	WHITE WOMAN
962	WOMAN	narrower	77	YOUNG WOMAN
962	WOMAN	narrower	907	OLD WOMAN
970	COCONUT	narrower	3034	GREEN COCONUT
970	COCONUT	narrower	3035	RIPE COCONUT
